Narrative of the Life of Frederick Douglass: An American Slave	https://web.archive.org/web/20201107055349/https://www.cliffsnotes.com/literature/n/narrative-of-the-life-of-frederick-douglass-an-american-slave/book-summary
The Prince	https://web.archive.org/web/20201107055349/https://www.cliffsnotes.com/literature/p/the-prince/book-summary
Sense and Sensibility	https://web.archive.org/web/20201107055349/https://www.cliffsnotes.com/literature/s/sense-and-sensibility/book-summary
Far from the Madding Crowd	https://web.archive.org/web/20201107055349/https://www.cliffsnotes.com/literature/f/far-from-the-madding-crowd/book-summary
Tess of the d'Urbervilles	https://web.archive.org/web/20201107055349/https://www.cliffsnotes.com/literature/t/tess-of-the-durbervilles/book-summary
The Brothers Karamazov	https://web.archive.org/web/20201107055349/https://www.cliffsnotes.com/literature/b/the-brothers-karamazov/book-summary
The Picture of Dorian Gray	https://web.archive.org/web/20201107055349/https://www.cliffsnotes.com/literature/p/the-picture-of-dorian-gray/book-summary
Lord Jim	https://web.archive.org/web/20201107055349/https://www.cliffsnotes.com/literature/l/lord-jim/book-summary
The Red and the Black	https://web.archive.org/web/20201107055349/https://www.cliffsnotes.com/literature/r/the-red-and-the-black/book-summary
The Tempest	https://web.archive.org/web/20201107055349/https://www.cliffsnotes.com/literature/t/the-tempest/play-summary
The Portrait of a Lady	https://web.archive.org/web/20201107055349/https://www.cliffsnotes.com/literature/p/the-portrait-of-a-lady/book-summary
The Last of the Mohicans	https://web.archive.org/web/20201107055349/https://www.cliffsnotes.com/literature/l/the-last-of-the-mohicans/book-summary
Dracula	https://web.archive.org/web/20201107055349/https://www.cliffsnotes.com/literature/d/dracula/book-summary
Jane Eyre	https://web.archive.org/web/20201107055349/https://www.cliffsnotes.com/literature/j/jane-eyre/jane-eyre-at-a-glance
Adam Bede	https://web.archive.org/web/20201107055349/https://www.cliffsnotes.com/literature/a/adam-bede/book-summary
Madame Bovary	https://web.archive.org/web/20201107055349/https://www.cliffsnotes.com/literature/m/madame-bovary/book-summary
Main Street	https://web.archive.org/web/20201107055349/https://www.cliffsnotes.com/literature/m/main-street/book-summary
The Deerslayer	https://web.archive.org/web/20201107055349/https://www.cliffsnotes.com/literature/d/the-deerslayer/book-summary
Oliver Twist	https://web.archive.org/web/20201107055349/https://www.cliffsnotes.com/literature/o/oliver-twist/book-summary
The House of the Seven Gables	https://web.archive.org/web/20201107055349/https://www.cliffsnotes.com/literature/h/the-house-of-the-seven-gables/book-summary
Vanity Fair	https://web.archive.org/web/20201107055349/https://www.cliffsnotes.com/literature/v/vanity-fair/book-summary
Winesburg Ohio	https://web.archive.org/web/20201107055349/https://www.cliffsnotes.com/literature/w/winesburg-ohio/about-winesburg-ohio
Babbitt	https://web.archive.org/web/20201107055349/https://www.cliffsnotes.com/literature/b/babbitt/sinclair-lewis-biography
A Tale of Two Cities	https://web.archive.org/web/20201107055349/https://www.cliffsnotes.com/literature/t/a-tale-of-two-cities/a-tale-of-two-cities-at-a-glance
The House of Mirth	https://web.archive.org/web/20201107055349/https://www.cliffsnotes.com/literature/h/the-house-of-mirth/book-summary
The Scarlet Letter	https://web.archive.org/web/20201107055349/https://www.cliffsnotes.com/literature/s/the-scarlet-letter/the-scarlet-letter-at-a-glance
